OTU_ID,Kingdom,Phylum,Class,Order,Family ,Genus,Species,Label
BOTU_2058,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,uncultured_bacterium,BOTU_2058_uncultured_bacterium
BOTU_2057,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured,unidentified,BOTU_2057_uncultured
BOTU_2060,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales,uncultured_bacterium,BOTU_2060_uncultured_bacterium
BOTU_2055,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_bacterium,BOTU_2055_uncultured_bacterium
BOTU_2067,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,unidentified,BOTU_2067_uncultured
BOTU_2064,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,unidentified,BOTU_2064_Pirellula
BOTU_2065,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2,uncultured_bacterium,BOTU_2065_uncultured_bacterium
BOTU_2061,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,unidentified,BOTU_2061_Gaiellales
BOTU_2062,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2062_Bacteria
BOTU_2059,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured,uncultured,unidentified,BOTU_2059_uncultured
BOTU_2056,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,uncultured_bacterium,BOTU_2056_uncultured_bacterium
BOTU_2072,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,JG30-KF-AS9,uncultured_bacterium,BOTU_2072_uncultured_bacterium
BOTU_2068,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,bacterium_14C13,BOTU_2068_bacterium_14C13
BOTU_2063,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,unidentified,unidentified,BOTU_2063_Cytophagaceae
BOTU_2071,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45,uncultured_bacterium,BOTU_2071_uncultured_bacterium
BOTU_2069,Bacteria,Chloroflexi,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2069_Chloroflexi
BOTU_2066,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,uncultured_bacterium,BOTU_2066_uncultured_bacterium
BOTU_2070,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured,uncultured_bacterium,BOTU_2070_uncultured_bacterium
BOTU_2076,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,unidentified,unidentified,BOTU_2076_Myxococcaceae
BOTU_2074,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,uncultured_bacterium,BOTU_2074_uncultured_bacterium
BOTU_2073,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,unidentified,unidentified,BOTU_2073_Beijerinckiaceae
BOTU_2084,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,AKIW781,unidentified,BOTU_2084_AKIW781
BOTU_2082,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,uncultured_planctomycete,BOTU_2082_uncultured_planctomycete
BOTU_2075,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,unidentified,unidentified,BOTU_2075_Micrococcaceae
